,title,description,tag,showDate,creators,contributor,page_url,img_url,time_length,hot_score,content_id
0,消失的十一层,六年前已被定性的矿下透水安全事故，因为一只头骨的被挖出，而再次被警方注意到。与此同时，野人山上突然出现的森林警察竟是六年前矿上械斗案的杀人逃犯，而这两起案件都与和众集团相关。公安局常务副局长曲江河在调查相关案件途中，发现总有一只无形的大手在阻碍调查，敌人总是先一步发现警方的动作，从而提前毁灭证据，导致调查难以进行。为了将这股黑恶势力连根拔起，扫清金川市的腐枝毒瘴，曲江河不惜自污来打入敌人内部，挣扎在法与情的边缘，徘徊于光和暗的界线。,罪案;悬疑,2023-7-9,[],"['潘粤明', '陈数', '果靖霖', '李洪涛', '万鹏', '于济玮', '孙岩', '陈昊蓝']",http://www.iqiyi.com/v_192m9bfojps.html,http://pic8.iqiyipic.com/image/20230711/5b/09/a_100535266_m_601_m20_579_772.webp,2579,6428,4563220697146300
1,独家童话,《独家童话》讲述了敏感独立的高冷学霸“凌超”与神经大条的可爱学渣 “肖兔”，从出生便相识，青梅竹马相爱相杀中互生情愫，最终在家长和朋友的助攻下甜蜜相恋的故事。,网剧,2023-7-27,"['董晓晶', '欧阳霁筱']","['文俊辉', '张淼怡', '熊奥博', '吕钊', '郝珠宇', '谭嘉泰', '林晨怡']",http://www.iqiyi.com/v_1z6moh49yv8.html,http://pic9.iqiyipic.com/image/20230801/df/6e/a_100537371_m_601_m21_579_772.webp,1622,5525,7276947759884200
2,莲花楼,该剧讲述了闻名武林的四顾门门主李相夷在一次大战后身受重伤，从此退隐江湖成为淡泊名利的“假神医”李莲花，在遇到新交方多病与旧敌笛飞声后重新卷入江湖的故事。江湖暗流涌动，疑团扑朔迷离，抽丝剥茧方能断出真相，一段荡气回肠的侠义情即将热血展开。,古装;武侠,2023-7-23,[],"['成毅', '曾舜晞', '肖顺尧', '陈都灵', '王鹤润', '陈意涵（演员）', '吴昀岭', '刘梦芮']",http://www.iqiyi.com/v_25ltrdm1rl8.html,http://pic9.iqiyipic.com/image/20230731/e5/43/a_100517696_m_601_m24_579_772.webp,2796,9032,8010127344745600
3,曾少年,故事讲述了千禧年过后，一群80后年轻人在北京追寻梦想、努力把握时代机遇，为美好事业与情感不懈奋斗的经历。他们的命运与时代镶嵌，与你我相似，虽然经历风雨，但凭借自身努力，积极向上，一路向阳，终将看见生命中最五彩斑斓的彩虹。愿每个人都不辜负曾经的少年。,都市,2023-7-10,[],"['张一山', '关晓彤', '范丞丞', '李溪芮', '姜珮瑶', '毛晓慧', '叶筱玮', '徐绍瑛']",http://www.iqiyi.com/v_2691qat0cf8.html,http://pic7.iqiyipic.com/image/20230724/85/d2/a_100538161_m_601_m18_579_772.webp,2739,5834,7967612554814600
4,富春山居,许嘉富父亲全身心投入造纸厂的运营，乡村富了，可他的家散了。成年后，许嘉富为了让父母破镜重圆亲手拆了父亲的造纸厂，将绿水青山还给家乡。当上许家大塘村书记之后，他决心带领乡亲们开拓一条乡村振兴之路，在经历了新农旅项目骗局、养猪场染病等“灭顶之灾”后，迷茫无助的许嘉富在街道书记郑本坤的引导与鼓励下重拾信心，将烂摊子变成了一个个热点：无人民宿、康养月子中心、智能养猪场、无人种植蔬菜工厂、数字乡村试验区。最终他与村民们一起用汗水和青春，将富春山下的乡村点墨成一幅现代版的《富春山居图》，农民是画家，也是画中人。,农村,2023-7-21,[],"['刘端端', '潘之琳', '王伟', '铁城', '张笑君', '赵冉', '牛子藩', '何音']",http://www.iqiyi.com/v_9q2qzt7f5w.html,http://pic5.iqiyipic.com/image/20230721/8d/50/a_100540261_m_601_m1_579_772.webp,2725,2353,1116314049607400
5,长风渡,布商之女柳玉茹自小遭遇生母病重、庶母不慈、父亲不重视的困境。为求改变命运，她战战兢兢做了十几年模范闺秀，唯求嫁个好人家，不料在订婚前夕被逼嫁给了纨绔子弟顾九思。顾九思误会柳玉茹是因贪慕顾家钱财而设计嫁给自己，扬言休妻，更在新婚之夜遁入酒楼。柳玉茹这才明白将命运系之婚姻、他人实如无本之水，故决定抛开过往伪装，真实、独立而精彩地实现自我。她一方面随顾母学习经商，另一方面则逼顾九思戒赌、读书。顾九思也在此过程中逐渐显示出独到的眼光与智慧，以及至纯至善的一面，两颗心愈靠愈近。,古装,2023-6-18,[],"['白敬亭', '宋轶', '刘学义', '张昊唯', '张睿', '赵子琪', '沙溢', '胡可']",http://www.iqiyi.com/v_10epeqee3vw.html,http://pic3.iqiyipic.com/image/20230721/2f/ed/a_100521679_m_601_m37_579_772.webp,2858,6464,3755439688500800
6,不完美受害人,该剧讲述一桩第三方匿名报警引发的神秘案件，人性、权利、欲望在探寻这场“不完美”真相过程中一一展现，一场场剧情反转、一次次叩问人心，究竟隐藏着怎样的真相。,都市;悬疑,2023-7-17,[],"['周迅', '刘奕君', '林允', '钟楚曦', '陈数', '颖儿', '董洁', '周澄奥']",http://www.iqiyi.com/v_1tb79lhcrts.html,http://pic3.iqiyipic.com/image/20230728/a4/e7/a_100521318_m_601_m14_579_772.webp,2751,8171,6726661988412300
7,偏偏宠爱,年轻的美女漫画家钟灵为治疗儿子可乐的先天性糖尿病，带着可乐回到六年前因为跟前任韩东来分手而离开的城市。谁知可乐意外走丢时偶遇了很像妈妈画册里经常出现的男人韩东来，误认为爸爸，被韩东来带回办公室，然后创造了两人的再次相遇，并展开一场爱恨交加的虐恋。再次相遇的两人因可乐的身世和病情再次纠缠在一起。一方面由于钟灵离开这六年的好友楚陌成为当红巨星，而帮自己的漫画推荐的影视剧改编机会让前任韩东来心声嫉妒，暗中调查。另一方面钟灵的回归让一直深爱韩东来的林夏夕再次癫狂，屡次暗中报复。钟可乐的亲生父亲到到底是谁？前任的爱情是否还会有缘再续？,,2023-7-28,['安蕾'],"['王皓轩', '宋美娜', '秦子墨', '马秋元', '李逸辰', '刘寒羽']",http://www.iqiyi.com/v_114pq330xxs.html,http://pic9.iqiyipic.com/image/20230728/10/39/a_100537764_m_601_m11_579_772.webp,860,3486,3677629601299900
8,纵有疾风起,该剧讲述了唐尘在事业蒸蒸日上的时候，遭遇女友烁冰的“出卖”而不得不宣布破产。他很快投身到二次创业，在与烁冰相爱相杀、几番博弈之后，终于理解了当初烁冰看似无情的选择的故事。,都市;剧情;家庭,2023-1-1,[],"['靳东', '宋佳', '田雨', '杨玏', '周劢劼', '王玉雯', '曹曦文', '张瑶']",http://www.iqiyi.com/v_jh530yvje8.html,http://pic2.iqiyipic.com/image/20230628/fb/9c/a_100502350_m_601_m13_579_772.webp,2667,1975,2097362881094300
9,归路,学生时代的路炎晨和归晓是彼此的初恋，随着路炎晨远赴他乡进入警校，归晓家庭变故，两人学生时代的感情无疾而终。八年后再度重逢，一句“化成灰我都认得你”让两人明白依旧对彼此念念不忘。两年后漫天飘雪的边境小城，归晓与朋友蔡雅雅不慎丢车，万般无奈下她打开手机，拨出了路炎晨的电话。,都市;青春;家庭,2023-3-14,[],"['井柏然', '谭松韵', '李岷城', '张柏嘉', '王皓（喜剧演员）', '张乔耳', '梁天', '吴玉芳']",http://www.iqiyi.com/v_1bbf0eo65vg.html,http://pic2.iqiyipic.com/image/20230601/c5/89/a_100504158_m_601_m29_579_772.webp,2759,2997,4899328187192400
